102.100.100/8276 ,449,Ag Biosciences Centre,0-10,GRBK,0,2.5,3,2,40,810,3,1.95,0.154,7.5,8.3,2.32,41.4,11.35,1.8,0.08,24.49,5.79,2.19,0.23,1.88,,,,,,,,,,,,,,
102.100.100/8277 ,450,Ag Biosciences Centre,0-10,GRBK,0,2.5,2,2,24,515,1.7,1.18,0.159,7.6,8.4,2.17,41.18,6.48,1.94,0.096,24.71,6.78,1.64,0.6,2.31,,,,,,,,,,,,,,
102.100.100/8269 ,442,Ag Biosciences Centre,0-10,LTBR,0,2,2,2,2,327,2.5,1.07,0.137,7.9,8.9,2.13,24.42,3.07,0.99,0.047,14.98,2.77,0.84,0.26,0.98,,,,,,,,,,,,,,
102.100.100/8278,451,Ag Biosciences Centre,0-10,DKBR,0,2.5,11,10,6,206,6.3,4.62,0.092,4.5,5.5,2.82,502.06,19.02,5.44,0.251,4.59,2.37,0.53,0.31,0.78,,,,,,,,,,,,,,
102.100.100/8279,452,Ag Biosciences Centre,0-10,DKBR,0,2.5,9,6,< 2,149,5.9,2.91,0.058,4.9,5.9,2.05,309.09,9.36,4.66,0.175,3.14,1.94,0.38,0.24,0.65,,,,,,,,,,,,,,
102.100.100/8280,453,Ag Biosciences Centre,0-10,DKBR,0,2.5,25,16,< 2,160,20.3,4.92,0.136,4.7,5.5,1.42,532.73,6.89,4.02,0.441,8.48,2.07,0.41,0.3,1.06,,,,,,,,,,,,,,
102.100.100/8281,454,Ag Biosciences Centre,0-10,DKBR,0,2.5,5,4,43,83,9.2,3.89,0.058,4.6,5.5,1.44,440.91,13.18,2.98,0.457,5.7,1.34,0.19,0.22,0.77,,,,,,,,,,,,,,
102.100.100/8282,455,Ag Biosciences Centre,0-10,DKBR,0,2.5,10,6,39,92,9.9,3.75,0.071,4.5,5.4,1.63,536.28,12.02,3.2,0.371,5,1.73,0.23,0.24,0.73,,,,,,,,,,,,,,
102.100.100/8283,456,Ag Biosciences Centre,0-10,DKGR,0,2.5,6,4,10,61,6.7,2.77,0.047,4.5,5.5,1.18,468.5,7.67,2.81,0.299,3.71,1.38,0.16,0.2,0.61,,,,,,,,,,,,,,
102.100.100/8284,457,Ag Biosciences Centre,0-10,DKBR,0,2.5,6,8,31,224,9.4,4.28,0.113,4.6,5.5,1.65,549.64,13.3,4.37,0.393,5.95,2,0.57,0.3,0.84,,,,,,,,,,,,,,
102.100.100/8285,458,Ag Biosciences Centre,0-10,DKBR,0,2.5,4,6,13,132,6.7,4.15,0.059,4.5,5.5,2.39,496.28,16.31,2.75,0.396,4.41,1.7,0.33,0.24,0.7,,,,,,,,,,,,,,
102.100.100/8286,459,Ag Biosciences Centre,0-10,DKBR,0,2.5,6,9,45,479,11.2,5.11,0.128,4.5,5.5,1.46,556.84,4.55,3.3,0.435,5.91,1.87,1.23,0.39,1.03,,,,,,,,,,,,,,
102.100.100/8287,460,Ag Biosciences Centre,0-10,DKBR,0,2.5,4,6,19,237,11.9,3.95,0.075,4.3,5.2,1.86,504.55,20.77,3.16,0.735,3.49,1.23,0.61,0.25,0.75,,,,,,,,,,,,,,
102.100.100/8288,461,Ag Biosciences Centre,0-10,DKGR,0,2.5,5,1,4,84,5.5,4.27,0.051,4.6,5.6,1.68,370.68,17.41,4.94,0.342,3.31,1.56,0.22,0.28,0.83,,,,,,,,,,,,,,
102.100.100/8289,462,Ag Biosciences Centre,0-10,DKGR,0,2.5,6,< 1,3,63,3.5,2.14,0.031,4.7,5.7,1.56,208.66,7.24,7.39,0.239,2.34,1.38,0.16,0.21,0.52,,,,,,,,,,,,,,
102.100.100/8290 ,463,Ag Biosciences Centre,0-10,LTBR,0,2,3,1,3,186,2.5,1.88,0.029,4.4,5.4,2.84,195.9,67.19,2.29,0.309,2.62,0.96,0.48,0.13,0.37,,,,,,,,,,,,,,
102.100.100/8291 ,464,Ag Biosciences Centre,0-10,WH,0,2,2,< 1,< 2,102,1.3,0.37,0.022,4.9,5.9,0.62,40.81,22.03,1.41,0.084,2.26,1.22,0.25,0.19,0.27,,,,,,,,,,,,,,
102.100.100/8292 ,465,Ag Biosciences Centre,0-10,LTBR,0,2,40,< 1,22,237,9.4,3.04,0.077,4.2,5.1,0.87,399.51,50.35,1.01,1.153,2.24,0.84,0.6,0.16,0.37,,,,,,,,,,,,,,
102.100.100/8293 ,466,Ag Biosciences Centre,0-10,BRWH,0,2,4,< 1,9,97,4.9,0.74,0.026,4.2,5.1,0.7,141.89,48.18,1.21,0.75,1.55,1,0.25,0.17,0.29,,,,,,,,,,,,,,
102.100.100/8294 ,467,Ag Biosciences Centre,0-10,BR,0,2,3,< 1,52,143,8.2,2.93,0.044,4,4.8,0.96,392.79,38,1.74,1.428,2.51,0.74,0.37,0.08,0.49,,,,,,,,,,,,,,
102.100.100/8295,468,Ag Biosciences Centre,0-10,YW,0,2,1,< 1,25,118,7.2,0.7,0.026,4.2,5,0.86,126.16,31.14,0.87,0.841,1.96,0.77,0.27,0.08,0.48,,,,,,,,,,,,,,
102.100.100/8296,469,Ag Biosciences Centre,0-10,LTBR,0,2,3,< 1,4,155,3.3,1.87,0.019,3.9,4.8,0.6,146.13,51.84,2.25,1.04,0.78,0.19,0.37,0.01,0.29,,,,,,,,,,,,,,
102.100.100/8297,470,Ag Biosciences Centre,0-10,LTBR,0,2,2,< 1,< 2,124,2,0.4,0.01,4,4.9,0.45,63.8,32.72,1.21,0.739,0.43,0.15,0.29,0.01,0.2,,,,,,,,,,,,,,
